ダウンロードした時刻：2023/06/10 11:07:29

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
2023/5/18,25.4,8,1,32.2,8,1,18.7,8,1,11.9,0,8,1,0,1,8,1,16.7,8,1,1011.1,8,1,7.5,8,1
2023/5/19,20.6,8,1,24.5,8,1,17.1,8,1,0.0,0,8,1,12.0,0,8,1,18.8,8,1,1008.1,8,1,10.0,8,1
2023/5/20,18.8,8,1,22.8,8,1,16.4,8,1,0.7,0,8,1,4.0,0,8,1,19.6,8,1,1006.0,8,1,9.0,8,1
2023/5/21,21.1,8,1,26.3,8,1,16.1,8,1,6.7,0,8,1,0,1,8,1,19.7,8,1,1005.1,8,1,7.5,8,1
2023/5/22,22.5,8,1,29.4,8,1,16.5,8,1,4.6,0,8,1,0.0,0,8,1,20.9,8,1,1001.4,8,1,8.0,8,1
2023/5/23,13.9,8,1,17.2,8,1,12.3,8,1,0.0,0,8,1,14.0,0,8,1,14.7,8,1,1001.4,8,1,10.0,8,1
2023/5/24,18.2,8,1,23.9,8,1,11.8,8,1,13.3,0,8,1,0,1,8,1,11.4,8,1,1007.9,8,1,0.5,8,1
2023/5/25,18.6,8,1,23.8,8,1,13.6,8,1,6.8,0,8,1,0,1,8,1,13.8,8,1,1020.0,8,1,7.5,8,1
2023/5/26,20.1,8,1,24.9,8,1,16.0,8,1,5.1,0,8,1,0,1,8,1,15.7,8,1,1021.3,8,1,7.5,8,1
2023/5/27,21.2,8,1,26.7,8,1,16.5,8,1,12.5,0,8,1,0,1,8,1,16.3,8,1,1020.2,8,1,10.0,8,1
2023/5/28,21.6,8,1,25.8,8,1,17.8,8,1,6.1,0,8,1,0.0,0,8,1,18.3,8,1,1015.2,8,1,9.5,8,1
2023/5/29,19.8,8,1,21.3,8,1,18.8,8,1,0.0,0,8,1,18.5,0,8,1,22.5,8,1,1007.4,8,1,10.0,8,1
2023/5/30,21.4,8,1,26.3,8,1,18.6,8,1,3.1,0,8,1,0.0,0,8,1,22.2,8,1,1005.2,8,1,9.3,8,1
2023/5/31,19.3,8,1,22.2,8,1,16.0,8,1,1.3,0,8,1,3.0,0,8,1,15.7,8,1,1009.0,8,1,9.8,8,1
2023/6/1,20.8,8,1,26.2,8,1,15.3,8,1,8.1,0,8,1,0.0,0,8,1,17.4,8,1,1010.6,8,1,8.0,8,1
2023/6/2,21.3,8,1,23.8,8,1,19.7,8,1,0.0,0,8,1,168.5,0,8,1,25.1,8,1,999.7,8,1,10.0,8,1
2023/6/3,20.0,8,1,24.0,8,1,17.5,8,1,4.5,0,8,1,92.5,0,8,1,19.2,8,1,997.0,8,1,5.5,8,1
2023/6/4,21.6,8,1,27.5,8,1,15.3,8,1,8.1,0,8,1,0,1,8,1,17.2,8,1,1004.8,8,1,6.8,8,1
2023/6/5,23.1,8,1,29.8,8,1,18.4,8,1,8.6,0,8,1,0,1,8,1,17.1,8,1,1006.0,8,1,9.5,8,1
2023/6/6,20.7,8,1,25.1,8,1,17.0,8,1,0.8,0,8,1,3.0,0,8,1,18.7,8,1,1006.2,8,1,9.3,8,1
2023/6/7,22.5,8,1,29.6,8,1,17.0,8,1,9.0,0,8,1,5.5,0,8,1,19.3,8,1,1005.6,8,1,9.0,8,1
2023/6/8,23.1,8,1,28.7,8,1,18.5,8,1,6.6,0,8,1,1.0,0,8,1,20.1,8,1,1009.4,8,1,9.0,8,1
2023/6/9,20.2,8,1,22.2,8,1,18.2,8,1,0.0,0,8,1,24.0,0,8,1,23.4,8,1,1002.6,8,1,,0,1
